Fuel_Type,Transmission,Clean_Price,Clean_Kilometers,Year,Brand,Model
Petrol,Manual,382000,40563,2023,Nissan,MAGNITE
Petrol,Manual,172000,43518,2015,Hyundai,Eon
Petrol,Manual,239000,42678,2017,Maruti,Wagon R 1.0
Petrol,Manual,305000,50894,2017,Maruti,Baleno
Petrol,Manual,223000,79321,2017,Maruti,Swift
CNG,Manual,178000,71644,2016,Renault,Kwid
Petrol,Manual,377000,63300,2018,Tata,NEXON
Petrol,Manual,350000,57298,2019,Maruti,Swift
Petrol,Manual,323000,47304,2019,Maruti,Swift
Petrol,Manual,356000,54812,2022,Nissan,MAGNITE
Petrol,Manual,291000,39097,2020,Renault,TRIBER
Petrol,Manual,370000,23803,2021,Tata,Tiago
CNG,Manual,164000,60214,2018,Datsun,Redi Go
Petrol,Manual,148000,84560,2015,Maruti,Wagon R 1.0
CNG,Manual,185000,66646,2014,Maruti,Celerio
CNG,Manual,354000,61353,2019,Renault,TRIBER
Petrol,Missing Transmission,772000,72725,2020,MG,HECTOR
Petrol,Manual,309000,44793,2015,Honda,City
Petrol,Manual,599000,85834,2020,KIA,SELTOS
CNG,Manual,209000,127453,2016,Hyundai,Grand i10
Petrol,Manual,195000,49255,2018,Renault,Kwid
Petrol,Manual,459999,59299,2021,Maruti,Dzire
Petrol,Manual,302000,42304,2020,Renault,TRIBER
Petrol,Missing Transmission,563000,37676,2022,Nissan,MAGNITE
Petrol,Manual,905000,55720,2022,Maruti,Ertiga
Petrol,Manual,372000,57562,2019,Tata,NEXON
Petrol,Manual,153000,86988,2017,Renault,Kwid
Petrol,Manual,215000,62667,2019,Renault,Kwid
Petrol,Manual,310000,65394,2016,Maruti,Swift
Petrol,Manual,295000,68082,2020,Renault,TRIBER
Petrol,Manual,331000,121569,2021,Volkswagen,Polo
Petrol,Manual,603000,51008,2019,KIA,SELTOS
Petrol,Manual,173000,62563,2018,Renault,Kwid
Petrol,Manual,531000,50234,2023,Toyota,Glanza
Petrol,Manual,160000,44529,2018,Datsun,Redi Go
Petrol,Manual,333000,64673,2021,Tata,ALTROZ
Petrol,Manual,225999,58676,2016,Tata,Tiago
Petrol,Manual,288000,53361,2016,Hyundai,Elite i20
Diesel,Manual,610000,44784,2020,Hyundai,Creta
Petrol,Manual,250000,42192,2014,Maruti,Swift Dzire
Petrol,Manual,667000,63930,2016,Toyota,Innova Crysta
CNG,Missing Transmission,775000,79209,2021,KIA,SELTOS
Petrol,Manual,323000,66378,2017,Tata,NEXON
Petrol,Manual,849000,75156,2021,Mahindra,Thar
Petrol,Manual,363000,50864,2021,Nissan,MAGNITE
Petrol,Manual,745000,19275,2025,Skoda,Kylaq
Petrol,Manual,707000,38638,2021,MG,HECTOR
Petrol,Manual,682000,54866,2021,MG,HECTOR
Petrol,Missing Transmission,364000,56534,2017,Maruti,Baleno
Petrol,Manual,101000,55446,2017,Datsun,Redi Go
Petrol,Manual,330000,59675,2018,Maruti,Swift
Petrol,Manual,333000,96018,2022,Renault,TRIBER
Petrol,Manual,382000,25491,2020,Maruti,Swift
Petrol,Manual,239000,104834,2016,Ford,Ecosport
Petrol,Manual,305000,41975,2016,Hyundai,Elite i20
Petrol,Manual,538000,67539,2018,Hyundai,Creta
CNG,Manual,360000,75061,2021,Maruti,New Wagon-R
Petrol,Manual,200000,53739,2016,Maruti,Wagon R 1.0
Petrol,Manual,661000,39083,2021,Tata,NEXON
Petrol,Manual,344000,72782,2016,Honda,City
Petrol,Manual,152000,34061,2019,Datsun,Redi Go
Petrol,Missing Transmission,760000,59718,2021,Skoda,KUSHAQ
Petrol,Manual,505000,13029,2024,Maruti,Swift
Petrol,Manual,365000,61522,2021,Maruti,Baleno
Petrol,Missing Transmission,380000,75238,2017,Honda,City
Petrol,Manual,293000,61665,2017,Ford,Ecosport
Petrol,Missing Transmission,155000,85537,2014,Maruti,Celerio
Petrol,Manual,209000,39588,2015,Maruti,Wagon R 1.0
CNG,Manual,239000,67778,2016,Tata,Tiago
Petrol,Manual,385000,60650,2018,Hyundai,Elite i20
Petrol,Manual,320000,77678,2015,Hyundai,Verna
Petrol,Manual,221000,94397,2017,Ford,Figo Aspire
Petrol,Manual,154000,91133,2015,Hyundai,Grand i10
Petrol,Manual,455999,13997,2023,Tata,PUNCH
Petrol,Manual,361000,71660,2018,Ford,Ecosport
Petrol,Manual,367000,53477,2017,Honda,City
Petrol,Manual,387000,28953,2018,Tata,NEXON
Petrol,Manual,1390000,67894,2022,Toyota,Innova Crysta
Petrol,Manual,206000,54895,2015,Volkswagen,Polo
Petrol,Manual,612000,37344,2019,MG,HECTOR
Petrol,Missing Transmission,608000,61847,2018,Jeep,Compass
Petrol,Manual,369000,50718,2020,Maruti,Swift
Petrol,Manual,350000,64177,2018,Maruti,Swift
CNG,Manual,244000,60113,2020,Renault,Kwid
Petrol,Manual,283000,96012,2017,Hyundai,Grand i10
CNG,Manual,236000,62267,2015,Hyundai,Elite i20
Petrol,Manual,354000,37056,2017,Maruti,Ciaz
Petrol,Manual,634000,35555,2021,Hyundai,VENUE
Petrol,Manual,303000,51491,2016,Hyundai,Elite i20
Petrol,Manual,295000,74135,2017,Maruti,Baleno
Petrol,Manual,362000,65120,2018,Ford,Ecosport
Diesel,Manual,852999,54557,2022,Tata,Harrier
Petrol,Manual,256999,90927,2018,Tata,Tiago
Petrol,Manual,299000,67937,2016,Honda,City
Petrol,Manual,375000,66353,2015,Hyundai,Creta
Diesel,Manual,858000,23542,2024,Mahindra,XUV300
Petrol,Manual,593000,72099,2021,KIA,SELTOS
Petrol,Missing Transmission,784000,34617,2020,MG,HECTOR
Petrol,Manual,472000,96997,2021,Maruti,Vitara Brezza
Petrol,Manual,135000,70864,2017,Renault,Kwid
Petrol,Manual,235000,30605,2021,Renault,Kwid
Petrol,Manual,248000,84536,2014,Hyundai,Elite i20
CNG,Manual,185000,58922,2014,Maruti,Wagon R 1.0
Petrol,Manual,315000,42836,2015,Hyundai,Elite i20
Petrol,Manual,304000,55608,2016,Ford,Ecosport
Petrol,Manual,152000,24800,2019,Datsun,Redi Go
Petrol,Manual,229999,69872,2014,Maruti,Ciaz
Petrol,Manual,353000,91857,2020,Volkswagen,Polo
Petrol,Manual,627000,30329,2019,KIA,SELTOS
Petrol,Manual,750000,87032,2019,MG,HECTOR
Petrol,Manual,428000,38115,2022,Maruti,Swift
Petrol,Manual,426000,17098,2024,Renault,TRIBER
Petrol,Manual,157000,65480,2017,Renault,Kwid
Petrol,Manual,374000,88526,2021,Maruti,Baleno
CNG,Manual,311000,54402,2015,Hyundai,Elite i20
CNG,Manual,196000,71023,2015,Maruti,Wagon R 1.0
CNG,Manual,256000,71612,2017,Maruti,Wagon R 1.0
Petrol,Manual,336000,51998,2023,Tata,Tiago
Petrol,Manual,266000,52978,2016,Ford,Ecosport
Petrol,Manual,360000,47755,2018,Honda,City
Petrol,Manual,690000,93433,2020,KIA,SELTOS
Petrol,Missing Transmission,910000,39182,2022,Skoda,SLAVIA
Petrol,Manual,210000,67371,2015,Maruti,Swift
Petrol,Manual,378000,64027,2019,Hyundai,Elite i20
Petrol,Manual,475000,58255,2019,Hyundai,VENUE
Petrol,Missing Transmission,380000,80459,2016,Volkswagen,Polo
Petrol,Manual,545000,46450,2023,Maruti,Baleno
CNG,Manual,318000,71407,2017,Maruti,Swift
Petrol,Manual,252000,68077,2015,Hyundai,Elite i20
Petrol,Manual,272000,58469,2014,Hyundai,Elite i20
Petrol,Manual,375000,49798,2015,Maruti,Ciaz
Petrol,Manual,263000,77669,2016,Hyundai,Grand i10
Petrol,Missing Transmission,353000,54400,2015,Volkswagen,Polo
Petrol,Manual,131000,24244,2014,Hyundai,Eon
Petrol,Manual,442000,33170,2024,Maruti,Swift
Petrol,Manual,389000,31340,2024,Maruti,New Wagon-R
Petrol,Manual,305000,82765,2016,Hyundai,Elite i20
Petrol,Manual,306000,43297,2014,Honda,City
Petrol,Manual,524000,63827,2020,Hyundai,VENUE
Petrol,Manual,352000,50796,2016,Maruti,Ciaz
Petrol,Missing Transmission,264000,96653,2014,Volkswagen,Polo
Petrol,Manual,599000,73678,2022,Skoda,KUSHAQ
Petrol,Manual,387000,71971,2018,Maruti,Swift
Petrol,Manual,259000,53016,2014,Hyundai,Elite i20
Petrol,Manual,179000,95901,2016,Tata,Tiago
CNG,Manual,296000,74329,2016,Ford,Ecosport
Petrol,Manual,488999,64948,2019,Mahindra,XUV300
Petrol,Manual,331000,43529,2023,Nissan,MAGNITE
CNG,Manual,398000,104176,2022,Maruti,New Wagon-R
CNG,Manual,385000,81896,2019,Hyundai,Elite i20
Petrol,Manual,574000,42245,2021,Hyundai,VENUE
Petrol,Manual,833000,44341,2024,KIA,SELTOS
Petrol,Manual,973000,58030,2023,Volkswagen,VIRTUS
Petrol,Missing Transmission,195000,45247,2017,Renault,Kwid
Petrol,Manual,329000,137493,2022,Nissan,MAGNITE
Petrol,Manual,320000,86118,2018,Hyundai,Elite i20
Petrol,Manual,233000,60669,2014,Hyundai,Elite i20
CNG,Manual,430000,33279,2022,Tata,Tiago
Petrol,Missing Transmission,348000,44275,2015,Maruti,Ciaz
Petrol,Missing Transmission,616000,118086,2020,Jeep,Compass
Petrol,Manual,140000,45459,2016,Renault,Kwid
Petrol,Manual,242000,67824,2017,Maruti,Swift
Petrol,Manual,200999,56415,2015,Hyundai,Elite i20
Petrol,Manual,220000,82513,2017,Toyota,Etios
Petrol,Manual,386000,70432,2015,Maruti,Ertiga
Petrol,Missing Transmission,381000,43017,2015,Honda,City
Petrol,Manual,528000,51460,2022,Tata,NEXON
Petrol,Missing Transmission,921000,47258,2022,Volkswagen,VIRTUS
Petrol,Missing Transmission,250000,53835,2017,Renault,Kwid
CNG,Manual,309000,109648,2020,Maruti,New Wagon-R
Petrol,Manual,236000,75629,2016,Hyundai,Elite i20
Petrol,Manual,238000,91334,2015,Hyundai,Elite i20
Petrol,Manual,423000,11859,2024,Tata,Tiago
Petrol,Manual,254000,116023,2015,Ford,Ecosport
Petrol,Manual,388000,70803,2016,Hyundai,Creta
Petrol,Manual,559000,60341,2022,Tata,NEXON
Petrol,Manual,194000,43958,2016,Maruti,Alto K10
Petrol,Manual,484999,34276,2024,Maruti,Baleno
Petrol,Missing Transmission,366000,78934,2018,Hyundai,Elite i20
Petrol,Manual,405000,12837,2022,Nissan,MAGNITE
Petrol,Manual,550000,28342,2023,Toyota,Glanza
Petrol,Manual,629000,69168,2019,Hyundai,Creta
Petrol,Manual,577000,28505,2022,Mahindra,XUV300
Petrol,Missing Transmission,1180000,53128,2023,MG,HECTOR
Petrol,Manual,420000,82522,2023,Maruti,Baleno
