Title,Price,Kilometers,Fuel_Type,Transmission
2023 Nissan MAGNITE,₹3.81 lakh,"40,563 km",Petrol,Manual
2015 Hyundai Eon,₹1.88L₹1.72 lakh,"43,518 km",Petrol,Manual
2019 Maruti Swift,₹3.65L₹3.50 lakh,"57,298 km",Petrol,Manual
2018 Maruti Swift,₹3.59L₹3.30 lakh,"59,675 km",Petrol,Manual
2019 Maruti Swift,₹3.60L₹3.23 lakh,"47,304 km",Petrol,Manual
2016 Ford Ecosport,₹2.98L₹2.44 lakh,"1,04,834 km",Petrol,Manual
2017 Maruti Swift,₹2.70L₹2.23 lakh,"79,321 km",Petrol,Manual
2018 Datsun Redi Go,₹1.85L₹1.64 lakh,"60,214 km",CNG,Manual
2017 Maruti Swift,₹3.11L₹2.65 lakh,"86,606 km",Petrol,Manual
2015 Maruti Wagon R 1.0,₹1.95L₹1.53 lakh,"84,560 km",Petrol,Manual
2021 Renault Kwid,₹2.30L₹2.15 lakh,"21,215 km",Petrol,Manual
2014 Honda City,₹3.00L₹2.54 lakh,"78,099 km",Petrol,Manual
2015 Hyundai Creta,₹4.25L₹3.80 lakh,"66,353 km",Petrol,Manual
2014 Maruti Celerio,₹2.16L₹1.85 lakh,"66,646 km",CNG,Manual
2018 Hyundai Elite i20,₹4.49L₹3.90 lakh,"60,650 km",Petrol,Manual
2016 Toyota Innova Crysta,₹7.75L₹6.73 lakh,"63,930 km",Petrol,Manual
2025 Skoda Kylaq,₹8.82L₹7.45 lakh,"19,275 km",Petrol,Manual
2020 Hyundai Verna,₹7.76L₹7.20 lakh,"68,332 km",Petrol,Auto
2015 Hyundai Verna,₹4.15L₹3.20 lakh,"77,678 km",Petrol,Manual
2021 Mahindra Thar,₹8.49 lakh,"75,156 km",Petrol,Manual
2018 Renault Kwid,₹2.32L₹1.95 lakh,"49,255 km",Petrol,Manual
2016 Maruti Swift,₹3.65L₹3.10 lakh,"65,394 km",Petrol,Manual
2017 Renault Kwid,₹1.90L₹1.72 lakh,"44,574 km",Petrol,Manual
2017 Renault Kwid,₹2.50L₹1.30 lakh,"45,001 km",Petrol,Manual
2017 Maruti Wagon R 1.0,₹2.60L₹2.35 lakh,"43,479 km",Petrol,Manual
2022 Nissan MAGNITE,₹6.19L₹5.69 lakh,"37,676 km",Petrol,Auto
2017 Renault Kwid,₹2.04L₹1.39 lakh,"61,347 km",Petrol,Manual
2017 Renault Kwid,₹2.39L₹1.53 lakh,"86,988 km",Petrol,Manual
2017 Maruti Baleno,₹3.20 lakh,"28,783 km",Petrol,Manual
2022 Maruti IGNIS,₹4.30L₹3.76 lakh,"71,219 km",Petrol,Manual
2016 Tata Tiago,₹2.41L₹2.26 lakh,"58,676 km",Petrol,Manual
2020 Renault TRIBER,₹3.15 lakh,"68,082 km",Petrol,Manual
2015 Hyundai Elite i20,₹3.15L₹2.95 lakh,"49,557 km",Petrol,Manual
2022 Maruti Vitara Brezza,₹6.42L₹5.93 lakh,"50,327 km",Petrol,Manual
2021 Tata Tiago,₹3.30L₹3.08 lakh,"66,760 km",Petrol,Manual
2014 Maruti Swift Dzire,₹2.60L₹2.55 lakh,"42,192 km",Petrol,Manual
2014 Honda City,₹3.22L₹2.65 lakh,"66,367 km",Petrol,Manual
2019 Tata NEXON,₹4.59L₹3.77 lakh,"57,562 km",Petrol,Manual
2023 Toyota Glanza,₹5.76L₹5.31 lakh,"50,234 km",Petrol,Manual
2019 KIA SELTOS,₹6.99L₹6.03 lakh,"51,008 km",Petrol,Manual
