Title,Price,Kilometers,Fuel_Type,Transmission
2023 Nissan MAGNITE,₹3.82 lakh,"40,563 km",Petrol,Manual
2015 Hyundai Eon,₹1.72 lakh,"43,518 km",Petrol,Manual
2017 Maruti Wagon R 1.0,₹2.39 lakh,"42,678 km",Petrol,Manual
2017 Maruti Baleno,₹3.05 lakh,"50,894 km",Petrol,Manual
2017 Maruti Swift,₹2.23 lakh,"79,321 km",Petrol,Manual
2016 Renault Kwid,₹1.78 lakh,"71,644 km",CNG,Manual
2018 Tata NEXON,₹3.77 lakh,"63,300 km",Petrol,Manual
2019 Maruti Swift,₹3.50 lakh,"57,298 km",Petrol,Manual
2019 Maruti Swift,₹3.23 lakh,"47,304 km",Petrol,Manual
2022 Nissan MAGNITE,₹3.56 lakh,"54,812 km",Petrol,Manual
2020 Renault TRIBER,₹2.91 lakh,"39,097 km",Petrol,Manual
2021 Tata Tiago,₹3.70 lakh,"23,803 km",Petrol,Manual
2018 Datsun Redi Go,₹1.64 lakh,"60,214 km",CNG,Manual
2015 Maruti Wagon R 1.0,₹1.48 lakh,"84,560 km",Petrol,Manual
2014 Maruti Celerio,₹1.85 lakh,"66,646 km",CNG,Manual
2019 Renault TRIBER,₹3.54 lakh,"61,353 km",CNG,Manual
2020 MG HECTOR,₹7.72 lakh,"72,725 km",Petrol,Missing Transmission
2015 Honda City,₹3.09 lakh,"44,793 km",Petrol,Manual
2020 KIA SELTOS,₹5.99 lakh,"85,834 km",Petrol,Manual
2016 Hyundai Grand i10,₹2.09 lakh,"1,27,453 km",CNG,Manual
2018 Renault Kwid,₹1.95 lakh,"49,255 km",Petrol,Manual
2021 Maruti Dzire,₹4.60 lakh,"59,299 km",Petrol,Manual
2020 Renault TRIBER,₹3.02 lakh,"42,304 km",Petrol,Manual
2022 Nissan MAGNITE,₹5.63 lakh,"37,676 km",Petrol,Missing Transmission
2022 Maruti Ertiga,₹9.05 lakh,"55,720 km",Petrol,Manual
2019 Tata NEXON,₹3.72 lakh,"57,562 km",Petrol,Manual
2017 Renault Kwid,₹1.53 lakh,"86,988 km",Petrol,Manual
2019 Renault Kwid,₹2.15 lakh,"62,667 km",Petrol,Manual
2016 Maruti Swift,₹3.10 lakh,"65,394 km",Petrol,Manual
2020 Renault TRIBER,₹2.95 lakh,"68,082 km",Petrol,Manual
2021 Volkswagen Polo,₹3.31 lakh,"1,21,569 km",Petrol,Manual
2019 KIA SELTOS,₹6.03 lakh,"51,008 km",Petrol,Manual
2018 Renault Kwid,₹1.73 lakh,"62,563 km",Petrol,Manual
2023 Toyota Glanza,₹5.31 lakh,"50,234 km",Petrol,Manual
2018 Datsun Redi Go,₹1.60 lakh,"44,529 km",Petrol,Manual
2021 Tata ALTROZ,₹3.33 lakh,"64,673 km",Petrol,Manual
2016 Tata Tiago,₹2.26 lakh,"58,676 km",Petrol,Manual
2016 Hyundai Elite i20,₹2.88 lakh,"53,361 km",Petrol,Manual
2020 Hyundai Creta,₹6.10 lakh,"44,784 km",Diesel,Manual
2014 Maruti Swift Dzire,₹2.50 lakh,"42,192 km",Petrol,Manual
2016 Toyota Innova Crysta,₹6.67 lakh,"63,930 km",Petrol,Manual
2021 KIA SELTOS,₹7.75 lakh,"79,209 km",CNG,Missing Transmission
2017 Tata NEXON,₹3.23 lakh,"66,378 km",Petrol,Manual
2021 Mahindra Thar,₹8.49 lakh,"75,156 km",Petrol,Manual
2021 Nissan MAGNITE,₹3.63 lakh,"50,864 km",Petrol,Manual
2025 Skoda Kylaq,₹7.45 lakh,"19,275 km",Petrol,Manual
2021 MG HECTOR,₹7.07 lakh,"38,638 km",Petrol,Manual
2021 MG HECTOR,₹6.82 lakh,"54,866 km",Petrol,Manual
2017 Maruti Baleno,₹3.64 lakh,"56,534 km",Petrol,Missing Transmission
2017 Datsun Redi Go,₹1.01 lakh,"55,446 km",Petrol,Manual
2018 Maruti Swift,₹3.30 lakh,"59,675 km",Petrol,Manual
2022 Renault TRIBER,₹3.33 lakh,"96,018 km",Petrol,Manual
2020 Maruti Swift,₹3.82 lakh,"25,491 km",Petrol,Manual
2016 Ford Ecosport,₹2.39 lakh,"1,04,834 km",Petrol,Manual
2016 Hyundai Elite i20,₹3.05 lakh,"41,975 km",Petrol,Manual
2018 Hyundai Creta,₹5.38 lakh,"67,539 km",Petrol,Manual
2021 Maruti New Wagon-R,₹3.60 lakh,"75,061 km",CNG,Manual
2016 Maruti Wagon R 1.0,₹2.00 lakh,"53,739 km",Petrol,Manual
2021 Tata NEXON,₹6.61 lakh,"39,083 km",Petrol,Manual
2016 Honda City,₹3.44 lakh,"72,782 km",Petrol,Manual
2019 Datsun Redi Go,₹1.52 lakh,"34,061 km",Petrol,Manual
2021 Skoda KUSHAQ,₹7.60 lakh,"59,718 km",Petrol,Missing Transmission
2024 Maruti Swift,₹5.05 lakh,"13,029 km",Petrol,Manual
2021 Maruti Baleno,₹3.65 lakh,"61,522 km",Petrol,Manual
2017 Honda City,₹3.80 lakh,"75,238 km",Petrol,Missing Transmission
2017 Ford Ecosport,₹2.93 lakh,"61,665 km",Petrol,Manual
2014 Maruti Celerio,₹1.55 lakh,"85,537 km",Petrol,Missing Transmission
2015 Maruti Wagon R 1.0,₹2.09 lakh,"39,588 km",Petrol,Manual
2016 Tata Tiago,₹2.39 lakh,"67,778 km",CNG,Manual
2018 Hyundai Elite i20,₹3.85 lakh,"60,650 km",Petrol,Manual
2015 Hyundai Verna,₹3.20 lakh,"77,678 km",Petrol,Manual
2017 Ford Figo Aspire,₹2.21 lakh,"94,397 km",Petrol,Manual
2015 Hyundai Grand i10,₹1.54 lakh,"91,133 km",Petrol,Manual
2023 Tata PUNCH,₹4.56 lakh,"13,997 km",Petrol,Manual
2018 Ford Ecosport,₹3.61 lakh,"71,660 km",Petrol,Manual
2017 Honda City,₹3.67 lakh,"53,477 km",Petrol,Manual
2018 Tata NEXON,₹3.87 lakh,"28,953 km",Petrol,Manual
2022 Toyota Innova Crysta,₹13.90 lakh,"67,894 km",Petrol,Manual
2015 Volkswagen Polo,₹2.06 lakh,"54,895 km",Petrol,Manual
2019 MG HECTOR,₹6.12 lakh,"37,344 km",Petrol,Manual
2018 Jeep Compass,₹6.08 lakh,"61,847 km",Petrol,Missing Transmission
2020 Maruti Swift,₹3.69 lakh,"50,718 km",Petrol,Manual
2018 Maruti Swift,₹3.50 lakh,"64,177 km",Petrol,Manual
2020 Renault Kwid,₹2.44 lakh,"60,113 km",CNG,Manual
2017 Hyundai Grand i10,₹2.83 lakh,"96,012 km",Petrol,Manual
2015 Hyundai Elite i20,₹2.36 lakh,"62,267 km",CNG,Manual
2017 Maruti Ciaz,₹3.54 lakh,"37,056 km",Petrol,Manual
2021 Hyundai VENUE,₹6.34 lakh,"35,555 km",Petrol,Manual
2016 Hyundai Elite i20,₹3.03 lakh,"51,491 km",Petrol,Manual
2017 Maruti Baleno,₹2.95 lakh,"74,135 km",Petrol,Manual
2018 Ford Ecosport,₹3.62 lakh,"65,120 km",Petrol,Manual
2022 Tata Harrier,₹8.53 lakh,"54,557 km",Diesel,Manual
2018 Tata Tiago,₹2.57 lakh,"90,927 km",Petrol,Manual
2016 Honda City,₹2.99 lakh,"67,937 km",Petrol,Manual
2015 Hyundai Creta,₹3.75 lakh,"66,353 km",Petrol,Manual
2024 Mahindra XUV300,₹8.58 lakh,"23,542 km",Diesel,Manual
2021 KIA SELTOS,₹5.93 lakh,"72,099 km",Petrol,Manual
2020 MG HECTOR,₹7.84 lakh,"34,617 km",Petrol,Missing Transmission
2021 Maruti Vitara Brezza,₹4.72 lakh,"96,997 km",Petrol,Manual
2017 Renault Kwid,₹1.35 lakh,"70,864 km",Petrol,Manual
2021 Renault Kwid,₹2.35 lakh,"30,605 km",Petrol,Manual
2014 Hyundai Elite i20,₹2.48 lakh,"84,536 km",Petrol,Manual
2014 Maruti Wagon R 1.0,₹1.85 lakh,"58,922 km",CNG,Manual
2015 Hyundai Elite i20,₹3.15 lakh,"42,836 km",Petrol,Manual
2016 Ford Ecosport,₹3.04 lakh,"55,608 km",Petrol,Manual
2019 Datsun Redi Go,₹1.52 lakh,"24,800 km",Petrol,Manual
2014 Maruti Ciaz,₹2.30 lakh,"69,872 km",Petrol,Manual
2020 Volkswagen Polo,₹3.53 lakh,"91,857 km",Petrol,Manual
2019 KIA SELTOS,₹6.27 lakh,"30,329 km",Petrol,Manual
2019 MG HECTOR,₹7.50 lakh,"87,032 km",Petrol,Manual
2022 Maruti Swift,₹4.28 lakh,"38,115 km",Petrol,Manual
2024 Renault TRIBER,₹4.26 lakh,"17,098 km",Petrol,Manual
2017 Renault Kwid,₹1.57 lakh,"65,480 km",Petrol,Manual
2021 Maruti Baleno,₹3.74 lakh,"88,526 km",Petrol,Manual
2015 Hyundai Elite i20,₹3.11 lakh,"54,402 km",CNG,Manual
2015 Maruti Wagon R 1.0,₹1.96 lakh,"71,023 km",CNG,Manual
2017 Maruti Wagon R 1.0,₹2.56 lakh,"71,612 km",CNG,Manual
2023 Tata Tiago,₹3.36 lakh,"51,998 km",Petrol,Manual
2016 Ford Ecosport,₹2.66 lakh,"52,978 km",Petrol,Manual
2018 Honda City,₹3.60 lakh,"47,755 km",Petrol,Manual
2020 KIA SELTOS,₹6.90 lakh,"93,433 km",Petrol,Manual
2022 Skoda SLAVIA,₹9.10 lakh,"39,182 km",Petrol,Missing Transmission
2015 Maruti Swift,₹2.10 lakh,"67,371 km",Petrol,Manual
2019 Hyundai Elite i20,₹3.78 lakh,"64,027 km",Petrol,Manual
2019 Hyundai VENUE,₹4.75 lakh,"58,255 km",Petrol,Manual
2016 Volkswagen Polo,₹3.80 lakh,"80,459 km",Petrol,Missing Transmission
2023 Maruti Baleno,₹5.45 lakh,"46,450 km",Petrol,Manual
2017 Maruti Swift,₹3.18 lakh,"71,407 km",CNG,Manual
2015 Hyundai Elite i20,₹2.52 lakh,"68,077 km",Petrol,Manual
2014 Hyundai Elite i20,₹2.72 lakh,"58,469 km",Petrol,Manual
2015 Maruti Ciaz,₹3.75 lakh,"49,798 km",Petrol,Manual
2016 Hyundai Grand i10,₹2.63 lakh,"77,669 km",Petrol,Manual
2015 Volkswagen Polo,₹3.53 lakh,"54,400 km",Petrol,Missing Transmission
2014 Hyundai Eon,₹1.31 lakh,"24,244 km",Petrol,Manual
2024 Maruti Swift,₹4.42 lakh,"33,170 km",Petrol,Manual
2024 Maruti New Wagon-R,₹3.89 lakh,"31,340 km",Petrol,Manual
2016 Hyundai Elite i20,₹3.05 lakh,"82,765 km",Petrol,Manual
2014 Honda City,₹3.06 lakh,"43,297 km",Petrol,Manual
2020 Hyundai VENUE,₹5.24 lakh,"63,827 km",Petrol,Manual
2016 Maruti Ciaz,₹3.52 lakh,"50,796 km",Petrol,Manual
2014 Volkswagen Polo,₹2.64 lakh,"96,653 km",Petrol,Missing Transmission
2022 Skoda KUSHAQ,₹5.99 lakh,"73,678 km",Petrol,Manual
2018 Maruti Swift,₹3.87 lakh,"71,971 km",Petrol,Manual
2014 Hyundai Elite i20,₹2.59 lakh,"53,016 km",Petrol,Manual
2016 Tata Tiago,₹1.79 lakh,"95,901 km",Petrol,Manual
2016 Ford Ecosport,₹2.96 lakh,"74,329 km",CNG,Manual
2019 Mahindra XUV300,₹4.89 lakh,"64,948 km",Petrol,Manual
2023 Nissan MAGNITE,₹3.31 lakh,"43,529 km",Petrol,Manual
2022 Maruti New Wagon-R,₹3.98 lakh,"1,04,176 km",CNG,Manual
2019 Hyundai Elite i20,₹3.85 lakh,"81,896 km",CNG,Manual
2021 Hyundai VENUE,₹5.74 lakh,"42,245 km",Petrol,Manual
2024 KIA SELTOS,₹8.33 lakh,"44,341 km",Petrol,Manual
2023 Volkswagen VIRTUS,₹9.73 lakh,"58,030 km",Petrol,Manual
2017 Renault Kwid,₹1.95 lakh,"45,247 km",Petrol,Missing Transmission
2022 Nissan MAGNITE,₹3.29 lakh,"1,37,493 km",Petrol,Manual
2018 Hyundai Elite i20,₹3.20 lakh,"86,118 km",Petrol,Manual
2014 Hyundai Elite i20,₹2.33 lakh,"60,669 km",Petrol,Manual
2022 Tata Tiago,₹4.30 lakh,"33,279 km",CNG,Manual
2015 Maruti Ciaz,₹3.48 lakh,"44,275 km",Petrol,Missing Transmission
2020 Jeep Compass,₹6.16 lakh,"1,18,086 km",Petrol,Missing Transmission
2016 Renault Kwid,₹1.40 lakh,"45,459 km",Petrol,Manual
2017 Maruti Swift,₹2.42 lakh,"67,824 km",Petrol,Manual
2015 Hyundai Elite i20,₹2.01 lakh,"56,415 km",Petrol,Manual
2017 Toyota Etios,₹2.20 lakh,"82,513 km",Petrol,Manual
2015 Maruti Ertiga,₹3.86 lakh,"70,432 km",Petrol,Manual
2015 Honda City,₹3.81 lakh,"43,017 km",Petrol,Missing Transmission
2022 Tata NEXON,₹5.28 lakh,"51,460 km",Petrol,Manual
2022 Volkswagen VIRTUS,₹9.21 lakh,"47,258 km",Petrol,Missing Transmission
2017 Renault Kwid,₹2.50 lakh,"53,835 km",Petrol,Missing Transmission
2020 Maruti New Wagon-R,₹3.09 lakh,"1,09,648 km",CNG,Manual
2016 Hyundai Elite i20,₹2.36 lakh,"75,629 km",Petrol,Manual
2015 Hyundai Elite i20,₹2.38 lakh,"91,334 km",Petrol,Manual
2024 Tata Tiago,₹4.23 lakh,"11,859 km",Petrol,Manual
2015 Ford Ecosport,₹2.54 lakh,"1,16,023 km",Petrol,Manual
2016 Hyundai Creta,₹3.88 lakh,"70,803 km",Petrol,Manual
2022 Tata NEXON,₹5.59 lakh,"60,341 km",Petrol,Manual
2016 Maruti Alto K10,₹1.94 lakh,"43,958 km",Petrol,Manual
2024 Maruti Baleno,₹4.85 lakh,"34,276 km",Petrol,Manual
2018 Hyundai Elite i20,₹3.66 lakh,"78,934 km",Petrol,Missing Transmission
2022 Nissan MAGNITE,₹4.05 lakh,"12,837 km",Petrol,Manual
2023 Toyota Glanza,₹5.50 lakh,"28,342 km",Petrol,Manual
2019 Hyundai Creta,₹6.29 lakh,"69,168 km",Petrol,Manual
2022 Mahindra XUV300,₹5.77 lakh,"28,505 km",Petrol,Manual
2023 MG HECTOR,₹11.80 lakh,"53,128 km",Petrol,Missing Transmission
2023 Maruti Baleno,₹4.20 lakh,"82,522 km",Petrol,Manual
2017 Renault Kwid,₹1.65 lakh,"46,155 km",Petrol,Manual
2018 Maruti Alto K10,₹2.55 lakh,"40,395 km",Petrol,Missing Transmission
2014 Maruti Wagon R 1.0,₹1.44 lakh,"97,945 km",CNG,Manual
2020 Ford Ecosport,₹5.25 lakh,"63,603 km",Petrol,Manual
2024 Volkswagen VIRTUS,₹11.20 lakh,"26,003 km",Petrol,Missing Transmission
2021 Maruti Swift,₹4.59 lakh,"44,956 km",Petrol,Missing Transmission
2019 Renault Kwid,₹2.25 lakh,"62,978 km",Petrol,Missing Transmission
2020 Tata ALTROZ,₹3.65 lakh,"62,456 km",Petrol,Manual
2016 Maruti Alto K10,₹1.50 lakh,"59,844 km",Petrol,Manual
2017 Hyundai Creta,₹4.22 lakh,"61,660 km",Petrol,Manual
2019 Hyundai Grand i10,₹3.20 lakh,"75,953 km",Petrol,Manual
2023 Nissan MAGNITE,₹4.47 lakh,"70,814 km",Petrol,Manual
2018 Ford Ecosport,₹3.88 lakh,"97,413 km",Petrol,Missing Transmission
2019 Tata NEXON,₹4.08 lakh,"41,765 km",Petrol,Manual
2014 Honda City,₹3.05 lakh,"35,595 km",Petrol,Manual
2018 Renault Kwid,₹1.66 lakh,"38,346 km",Petrol,Missing Transmission
2019 Maruti Swift,₹4.00 lakh,"44,527 km",Petrol,Missing Transmission
2022 Maruti Swift,₹4.61 lakh,"13,069 km",Petrol,Manual
2017 Hyundai Grand i10,₹2.59 lakh,"63,664 km",Petrol,Manual
2019 Ford Ecosport,₹4.65 lakh,"52,034 km",Petrol,Manual
2021 Tata NEXON,₹4.47 lakh,"50,666 km",Petrol,Manual
2024 Volkswagen VIRTUS,₹9.21 lakh,"29,188 km",Petrol,Manual
2020 Tata TIGOR,₹3.04 lakh,"73,338 km",Petrol,Manual
2021 Tata NEXON,₹5.67 lakh,"45,906 km",Petrol,Missing Transmission
2017 Honda City,₹3.86 lakh,"1,10,963 km",Petrol,Manual
2021 MG HECTOR,₹9.33 lakh,"48,427 km",Diesel,Manual
2025 Renault Kwid,₹4.54 lakh,"27,203 km",CNG,Manual
2018 Toyota YARIS,₹3.40 lakh,"69,932 km",Petrol,Manual
2015 Maruti Alto K10,₹1.57 lakh,"28,086 km",Petrol,Manual
2016 Hyundai Grand i10,₹3.10 lakh,"65,031 km",Petrol,Missing Transmission
2015 Honda City,₹3.33 lakh,"32,396 km",Petrol,Manual
2017 Hyundai Creta,₹4.91 lakh,"70,067 km",Petrol,Missing Transmission
2018 Hyundai NEW SANTRO,₹2.64 lakh,"49,363 km",CNG,Manual
2019 Renault TRIBER,₹2.98 lakh,"56,442 km",Petrol,Manual
2019 Maruti Celerio,₹3.05 lakh,"69,304 km",Petrol,Missing Transmission
2019 Hyundai Creta,₹6.27 lakh,"66,441 km",Petrol,Missing Transmission
2018 Toyota YARIS,₹4.68 lakh,"53,045 km",Petrol,Missing Transmission
2022 MG HECTOR,₹9.40 lakh,"72,016 km",Diesel,Manual
2017 Hyundai Grand i10,₹2.49 lakh,"59,928 km",Petrol,Manual
2021 Tata NEXON,₹6.26 lakh,"34,304 km",Petrol,Missing Transmission
2018 Ford Ecosport,₹4.42 lakh,"57,513 km",Petrol,Missing Transmission
2018 Toyota YARIS,₹4.55 lakh,"1,09,066 km",Petrol,Missing Transmission
2015 Maruti Swift Dzire,₹2.08 lakh,"65,853 km",Petrol,Manual
